Date,total_pnl,avg_pnl_per_trade,trade_count,pnl_volatility,total_volume,avg_trade_size,active_traders,buy_ratio,win_rate,profit_factor,classification,value,sentiment_score
11/9/2024,102.9089,1.1966,86,2.9099,193384.41,2248.6559,2,0,0.220930233,0.053214683,Extreme Greed,75,5
11/10/2024,991.1143,5.729,173,22.4714,413636.7,2390.9636,3,0,0.294797688,0.239609856,Extreme Greed,78,5
11/11/2024,6749.631,18.0955,373,60.9024,1570572.42,4210.6499,4,0,0.246648794,0.429756114,Extreme Greed,76,5
11/12/2024,3494.3994,20.4351,171,80.9041,1226354.52,7171.6639,4,0,0.198830409,0.284942025,Extreme Greed,80,5
11/13/2024,7846.4023,163.4667,48,358.5079,515336.37,10736.1744,5,0,0.5625,1.522578796,Extreme Greed,84,5
11/14/2024,4563.5092,41.4864,110,89.209,1008361.81,9166.9255,2,0,0.254545455,0.452566644,Extreme Greed,88,5
11/15/2024,4140.7404,27.7902,149,61.9558,1427858.42,9582.9424,4,0,0.369127517,0.289996567,Extreme Greed,80,5
11/16/2024,2769.5219,17.6403,157,44.3033,303296.07,1931.8221,4,0,0.305732484,0.913141374,Extreme Greed,86,5
11/17/2024,882.9753,4.2248,209,17.2615,1215987.57,5818.1223,4,0,0.234449761,0.072613843,Extreme Greed,90,5
11/18/2024,4470.8152,12.9214,346,87.8216,2084339.58,6024.1028,7,0,0.358381503,0.214495529,Extreme Greed,83,5
11/19/2024,2958.269,9.6992,305,37.7319,628031.15,2059.1185,5,0,0.491803279,0.471038578,Extreme Greed,90,5
11/20/2024,4210.0929,7.6547,550,54.5445,1999514.12,3635.4802,5,0,0.398181818,0.210555797,Extreme Greed,83,5
11/21/2024,1692.4309,3.1634,535,23.0717,598300.62,1118.3189,5,0,0.308411215,0.282872998,Extreme Greed,82,5
11/22/2024,-18105.3456,-26.6647,679,305.8865,1646713.62,2425.2042,6,0,0.307805596,-1.099483564,Extreme Greed,94,5
11/23/2024,2901.5316,7.9932,363,25.9243,516245.68,1422.1644,4,0,0.35261708,0.562044723,Extreme Greed,93,5
11/24/2024,945.5504,5.4974,172,24.2318,664952.28,3866.0016,3,0,0.26744186,0.142198234,Extreme Greed,80,5
11/25/2024,5523.7407,21.6617,255,136.5363,937410.87,3676.1211,2,0,0.411764706,0.58925503,Extreme Greed,82,5
11/26/2024,1094.8094,3.6252,302,55.5355,1146902.44,3797.6902,4,0,0.291390728,0.095457936,Extreme Greed,79,5
11/27/2024,-2654.4956,-12.4624,213,56.1966,1444242.53,6780.4814,2,0,0.34741784,-0.183798465,Extreme Greed,75,5
11/28/2024,-127075.3996,-382.7572,332,1422.4246,1894225.15,5705.4974,5,0,0.328313253,-6.708568915,Extreme Greed,77,5
11/29/2024,176844.9942,449.9873,393,2425.1394,794262.91,2021.0252,11,0,0.488549618,22.26529679,Extreme Greed,78,5
11/30/2024,37316.6935,100.0448,373,327.5103,1732193.7,4643.9509,8,0,0.420911528,2.154302576,Extreme Greed,84,5
12/1/2024,40886.3645,98.2845,416,338.0394,814711.82,1958.4419,9,0,0.53125,5.01850636,Extreme Greed,81,5
12/2/2024,18489.6043,68.48,270,379.9036,585243.56,2167.5687,8,0,0.407407407,3.15930077,Extreme Greed,80,5
12/3/2024,23576.5393,63.0389,374,229.0077,1084666.53,2900.1779,8,0,0.430481283,2.173620984,Extreme Greed,76,5
12/4/2024,292891.815,918.1562,319,4090.2839,769287.65,2411.56,7,0,0.463949843,38.07312063,Extreme Greed,78,5
12/5/2024,71574.1185,156.9608,456,1402.2841,1256750.79,2756.0324,8,0,0.423245614,5.695171952,Extreme Greed,84,5
12/6/2024,-92624.6439,-229.8378,403,6326.3532,3471019.22,8612.9509,10,0,0.23325062,-2.66851429,Greed,72,4
12/7/2024,85906.2791,282.5864,304,2478.9158,451733.42,1485.9652,6,0,0.430921053,19.0170298,Extreme Greed,75,5
12/8/2024,15965.9334,38.0141,420,232.6134,932939.72,2221.285,6,0,0.361904762,1.71135745,Extreme Greed,79,5
12/9/2024,6310.9677,11.7087,539,100.8985,983949.68,1825.5096,10,0,0.319109462,0.641391306,Extreme Greed,78,5
12/10/2024,39325.7702,24.6402,1596,141.4899,3150424.08,1973.9499,11,0,0.587092732,1.248269097,Extreme Greed,78,5
12/11/2024,319051.5542,261.3035,1221,2003.1397,2194098.33,1796.9683,12,0,0.712530713,14.54135167,Greed,74,4
12/12/2024,599151.795,310.12,1932,1920.8079,4557189.87,2358.7939,14,0,0.699792961,13.14739592,Extreme Greed,83,5
12/13/2024,31935.9017,27.2258,1173,194.0794,2880824.64,2455.946,11,0,0.401534527,1.108568056,Extreme Greed,76,5
12/14/2024,167801.3992,135.8716,1235,647.5596,2369561.78,1918.6735,12,0,0.473684211,7.081537211,Extreme Greed,83,5
12/15/2024,97525.3153,57.4692,1697,400.023,2583269.81,1522.2568,15,0,0.245727755,3.775266328,Extreme Greed,80,5
12/16/2024,166774.3441,158.0799,1055,863.2966,2740808.97,2597.9232,13,0,0.507109005,6.084858373,Extreme Greed,83,5
12/17/2024,219591.3052,113.1331,1941,546.8152,5233597.63,2696.3409,16,0,0.436373004,4.195800303,Extreme Greed,87,5
12/18/2024,13682.9947,9.5752,1429,90.0826,3798887.07,2658.4234,13,0,0.365990203,0.360184297,Extreme Greed,81,5
